G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
1,0,0,1,-724.6360000,-33.14378600,-10.77109100,-0.030488000,0.355520000,-0.325032000
1,0,0,1,-725.2337420,-33.3245200,-12.64407200,-0.037629000,0.363183000,-0.325553000
1,0,0,1,-729.9138260,-32.63687700,-13.65377900,-0.048691000,0.370756000,-0.32206600
1,0,0,1,-736.6044020,-32.80984200,-15.52877700,-0.06064400,0.378238000,-0.317594000
1,0,0,1,-742.4392960,-34.86805300,-19.29328600,-0.070478000,0.385627000,-0.315148000
1,0,0,1,-745.0419840,-37.53688400,-23.67225700,-0.077415000,0.392920000,-0.315505000
1,0,0,1,-743.1712520,-38.24657800,-26.0955120,-0.082560000,0.400117000,-0.317557000
1,0,0,1,-736.9026310,-35.69248700,-25.2579810,-0.087035000,0.407214000,-0.320180000
1,0,0,1,-727.4560610,-31.07250200,-22.35712900,-0.090878000,0.414212000,-0.323333000
1,0,0,1,-717.0400170,-26.98825300,-19.9941640,-0.093808000,0.421107000,-0.327299000
1,0,0,1,-707.9230470,-25.07463900,-19.80356000,-0.096324000,0.427898000,-0.331574000
1,0,0,1,-701.5371450,-24.87053500,-21.32376700,-0.099878000,0.434583000,-0.334706000
1,0,0,1,-698.0939450,-24.83010400,-23.00852100,-0.105770000,0.441162000,-0.335392000
1,0,0,1,-697.024853,-24.2224450,-24.1264990,-0.11404800,0.447631000,-0.333583000
1,0,0,1,-697.2102730,-23.6441100,-25.27382200,-0.123321000,0.453990000,-0.330670000
1,0,0,1,-697.200327,-23.93926100,-27.29423000,-0.131800000,0.460237000,-0.32843800
1,0,0,1,-695.4910440,-24.87587600,-29.95527400,-0.138532000,0.466371000,-0.32783900
1,0,0,1,-691.1555110,-25.18340700,-31.98598100,-0.143834000,0.472389000,-0.328556000
1,0,0,1,-684.0833800,-23.7570510,-32.28112300,-0.14851000,0.478291000,-0.329782000
1,0,0,1,-674.9605890,-20.79158600,-31.03505100,-0.152957000,0.484075000,-0.331118000
1,0,0,1,-664.9200260,-17.58814800,-29.54848000,-0.157051000,0.489740000,-0.332689000
1,0,0,1,-655.2593510,-15.40190300,-29.07615100,-0.16082700,0.495283000,-0.334456000
1,0,0,1,-646.9463550,-14.42907100,-29.81386100,-0.16487700,0.500705000,-0.335828000
1,0,0,1,-640.3485370,-13.95284100,-31.04437800,-0.170013000,0.506002000,-0.335990000
1,0,0,1,-635.1744030,-13.26795800,-32.06202400,-0.176512000,0.511176000,-0.334664000
1,0,0,1,-630.7856640,-12.39946100,-32.89141900,-0.183819000,0.516222000,-0.332403000
1,0,0,1,-626.3647650,-11.81689400,-34.00168700,-0.190923000,0.521142000,-0.330219000
1,0,0,1,-621.1107860,-11.67726800,-35.54942300,-0.197090000,0.525933000,-0.32884300
1,0,0,1,-614.3818830,-11.45739300,-37.01102100,-0.202257000,0.530594000,-0.328337000
1,0,0,1,-605.9814530,-10.44675600,-37.67555100,-0.206844000,0.535124000,-0.328280000
1,0,0,1,-596.1887590,-8.460266000,-37.35751000,-0.211225000,0.539522000,-0.328298000
1,0,0,1,-585.6609380,-6.064229000,-36.62279200,-0.215469000,0.543787000,-0.328318000
1,0,0,1,-575.1315030,-4.044770000,-36.25711200,-0.219538000,0.54791800,-0.328381000
1,0,0,1,-565.2197610,-2.759779000,-36.61795200,-0.223626000,0.551914000,-0.328288000
1,0,0,1,-556.2161260,-1.944754000,-37.44040400,-0.228153000,0.555774000,-0.327621000
1,0,0,1,-548.0655460,-1.140377000,-38.26474600,-0.233405000,0.55949600,-0.326091000
1,0,0,1,-540.4068940,-0.171898000,-38.91582700,-0.239215000,0.563081000,-0.323865000
1,0,0,1,-532.7703070,0.762722000,-39.59120600,-0.245048000,0.566526000,-0.321478000
1,0,0,1,-524.6717490,1.473176000,-40.48079600,-0.250383000,0.569832000,-0.319448000
1,0,0,1,-515.747572,2.092235000,-41.45142800,-0.25505400,0.572997000,-0.317942000
1,0,0,1,-505.8166180,3.007236000,-42.11537500,-0.259238000,0.576020000,-0.316783000
1,0,0,1,-494.9881930,4.450447000,-42.23997900,-0.26320300,0.578902000,-0.31569900
1,0,0,1,-483.5960910,6.254267000,-41.99245300,-0.267083000,0.581641000,-0.314558000
1,0,0,1,-472.0907400,7.982497000,-41.80861400,-0.270883000,0.5842360,-0.313352000
1,0,0,1,-460.8425900,9.326419000,-41.99679800,-0.274649000,0.586687000,-0.312038000
1,0,0,1,-450.0655360,10.31515500,-42.52750300,-0.278558000,0.58899300,-0.310435000
1,0,0,1,-439.7532580,11.20583600,-43.14322700,-0.282793000,0.591154000,-0.308361000
1,0,0,1,-429.7382260,12.17705800,-43.66499900,-0.287345000,0.593169000,-0.305824000
1,0,0,1,-419.7393610,13.19618200,-44.12509100,-0.291962000,0.595038000,-0.303076000
1,0,0,1,-409.4804420,14.13046500,-44.65588100,-0.296320000,0.596760000,-0.300440000
1,0,0,1,-398.7361170,14.97527400,-45.26164000,-0.3002490,0.598335000,-0.298086000
1,0,0,1,-387.4055150,15.89535000,-45.77726900,-0.303804000,0.599762000,-0.295957000
1,0,0,1,-375.5156690,17.06981200,-46.02329600,-0.307152000,0.601041000,-0.293889000
1,0,0,1,-363.2409420,18.48664700,-46.01138300,-0.310416000,0.602172000,-0.291755000
1,0,0,1,-350.8224010,19.94319100,-45.94384700,-0.313625000,0.603154000,-0.289529000
1,0,0,1,-338.4982690,21.21674500,-46.04304400,-0.316784000,0.603987000,-0.287203000
1,0,0,1,-326.4037460,22.25425700,-46.36168800,-0.31995300,0.604672000,-0.284719000
1,0,0,1,-314.5632020,23.16899500,-46.78617600,-0.323228000,0.605207000,-0.281979000
1,0,0,1,-302.8863220,24.10298800,-47.1741490,-0.326642000,0.605593000,-0.278951000
1,0,0,1,-291.2299220,25.08734800,-47.49416800,-0.330096000,0.605829000,-0.275733000
1,0,0,1,-279.4276800,26.0625790,-47.80540700,-0.333415000,0.605916000,-0.272501000
1,0,0,1,-267.3531540,26.9850580,-48.15117300,-0.336464000,0.605854000,-0.269390000
1,0,0,1,-254.9325630,27.91061700,-48.47532000,-0.339234000,0.605642000,-0.266408000
1,0,0,1,-242.1778350,28.93841700,-48.67837900,-0.341811000,0.605280000,-0.263469000
1,0,0,1,-229.1677730,30.10521200,-48.7232930,-0.344287000,0.604769000,-0.260482000
1,0,0,1,-216.0406260,31.32719400,-48.69357000,-0.34669900,0.604109000,-0.257410000
1,0,0,1,-202.932701,32.47400000,-48.7192780,-0.349049000,0.603300000,-0.254251000
1,0,0,1,-189.945094,33.47466100,-48.87109900,-0.351354000,0.602342000,-0.250988000
1,0,0,1,-177.1012740,34.3692590,-49.10866500,-0.353659000,0.601236000,-0.247577000
1,0,0,1,-164.365626,35.24464300,-49.34484800,-0.355996000,0.599981000,-0.243985000
1,0,0,1,-151.6539840,36.15187900,-49.52830800,-0.358335000,0.598578000,-0.240243000
1,0,0,1,-138.8766930,37.07221700,-49.67752500,-0.360584000,0.597027000,-0.236443000
1,0,0,1,-125.9510150,37.97163400,-49.82626000,-0.362655000,0.5953290,-0.232675000
1,0,0,1,-112.833695,38.85404300,-49.97033900,-0.364513000,0.593485000,-0.228971000
1,0,0,1,-99.52012100,39.76801000,-50.06094600,-0.366197000,0.591493000,-0.225296000
1,0,0,1,-86.05675900,40.74712900,-50.06423600,-0.36776500,0.589356000,-0.221591000
1,0,0,1,-72.51675800,41.76899000,-50.00237700,-0.369256000,0.587074000,-0.217817000
1,0,0,1,-58.98723400,42.76345600,-49.94527000,-0.370678000,0.584646000,-0.213968000
1,0,0,1,-45.53059400,43.67620900,-49.9470010,-0.372034000,0.582074000,-0.210041000
1,0,0,1,-32.17556900,44.50746400,-50.00713200,-0.373340000,0.579359000,-0.206018000
1,0,0,1,-18.9041500,45.30431300,-50.07834700,-0.374618000,0.576501000,-0.201883000
1,0,0,1,-5.674204000,46.10747600,-50.11971400,-0.375858000,0.573500000,-0.197642000
1,0,0,1,7.571153000,46.92301000,-50.12496800,-0.377019000,0.570358000,-0.193339000
1,0,0,1,20.87721200,47.73031700,-50.11450400,-0.378046000,0.567075000,-0.189030000
1,0,0,1,34.27471900,48.52142400,-50.09609800,-0.378909000,0.56365300,-0.184744000
1,0,0,1,47.7643510,49.31268800,-50.05320300,-0.379619000,0.560091000,-0.180472000
1,0,0,1,61.32453000,50.12858800,-49.96115400,-0.380211000,0.556391000,-0.176180000
1,0,0,1,74.90978800,50.96724800,-49.82165000,-0.380715000,0.552554000,-0.171839000
1,0,0,1,88.47169200,51.79768900,-49.66549700,-0.381143000,0.548580000,-0.16743700
1,0,0,1,101.9665940,52.58183200,-49.53060700,-0.381495000,0.544471000,-0.162976000
1,0,0,1,115.3752610,53.30856800,-49.42793100,-0.381774000,0.540228000,-0.15845400
1,0,0,1,128.6994910,53.99626600,-49.33894300,-0.381989000,0.535852000,-0.153862000
1,0,0,1,141.9636010,54.67395400,-49.23446800,-0.38214100,0.531343000,-0.149201000
1,0,0,1,155.1965070,55.35345900,-49.10253900,-0.382212000,0.526703000,-0.144491000
1,0,0,1,168.4272280,56.02880400,-48.94899700,-0.382174000,0.521933000,-0.139759000
1,0,0,1,181.6709800,56.69004800,-48.78365400,-0.382004000,0.517035000,-0.135031000
1,0,0,1,194.9316690,57.34114300,-48.60243700,-0.381702000,0.512008000,-0.130307000
1,0,0,1,208.1954400,57.99378700,-48.3935290,-0.381285000,0.50685600,-0.125571000
1,0,0,1,221.4393240,58.65342100,-48.1513830,-0.380775000,0.501578000,-0.120804000
1,0,0,1,234.6320500,59.30679700,-47.88914200,-0.380181000,0.496177000,-0.115996000
1,0,0,1,247.7480150,59.93272000,-47.62790600,-0.379506000,0.490653000,-0.111148000
1,0,0,1,260.7695950,60.51771100,-47.38106200,-0.378748000,0.4850090,-0.106260000
1,0,0,1,273.6956590,61.06776000,-47.14253900,-0.37791200,0.479244000,-0.101332000
1,0,0,1,286.5347200,61.598669,-46.89645500,-0.376999000,0.473361000,-0.096363000
1,0,0,1,299.3039020,62.12295200,-46.63022900,-0.376004000,0.467362000,-0.091358000
1,0,0,1,312.0176220,62.64026300,-46.34414100,-0.374911000,0.461247000,-0.086336000
1,0,0,1,324.6870160,63.14514300,-46.04359400,-0.373709000,0.455018000,-0.081309000
1,0,0,1,337.3129660,63.63527300,-45.7308560,-0.372391000,0.4486780,-0.076287000
1,0,0,1,349.8897630,64.11598800,-45.40054900,-0.370965000,0.442226000,-0.071260000
1,0,0,1,362.402321,64.59140000,-45.04852300,-0.369445000,0.435665000,-0.066220000
1,0,0,1,374.8333460,65.05835500,-44.67790200,-0.367839000,0.428997000,-0.061158000
1,0,0,1,387.1642480,65.50544400,-44.30007200,-0.366150000,0.422223000,-0.056073000
1,0,0,1,399.3835330,65.92343500,-43.92424600,-0.364378000,0.415345000,-0.050967000
1,0,0,1,411.4859260,66.31146000,-43.55128400,-0.362524000,0.408364000,-0.04584000
1,0,0,1,423.4754730,66.67780200,-43.17289700,-0.360590000,0.40128300,-0.040693000
1,0,0,1,435.3592270,67.0306500,-42.78090000,-0.358573000,0.394102000,-0.035529000
1,0,0,1,447.1464880,67.37301900,-42.37228900,-0.356468000,0.386824000,-0.030356000
1,0,0,1,458.8422170,67.70185300,-41.95013400,-0.354266000,0.379451000,-0.025185000
1,0,0,1,470.4481060,68.01486700,-41.51674400,-0.351964000,0.371984000,-0.020021000
1,0,0,1,481.9591590,68.31286700,-41.07134400,-0.349563000,0.364426000,-0.014863000
1,0,0,1,493.3673250,68.59905300,-40.61076700,-0.347072000,0.356777000,-0.009706000
1,0,0,1,504.6605350,68.87304700,-40.13543700,-0.344497000,0.349041000,-0.004543000
1,0,0,1,515.827957,69.13035300,-39.64990000,-0.341844000,0.341218000,0.000626000
1,0,0,1,526.8600980,69.36460700,-39.16057300,-0.339111000,0.333311000,0.00579900
1,0,0,1,537.7531500,69.57377200,-38.66956100,-0.336299000,0.325322000,0.010976000
1,0,0,1,548.5067200,69.76062500,-38.17415100,-0.333408000,0.317253000,0.016155000
1,0,0,1,559.1247110,69.93066200,-37.66892700,-0.330438000,0.309105000,0.021333000
1,0,0,1,569.6106900,70.08666200,-37.15119100,-0.327388000,0.300882000,0.026506000
1,0,0,1,579.9679260,70.2283010,-36.62135700,-0.324253000,0.292583000,0.031670000
1,0,0,1,590.1959320,70.35347400,-36.0816240,-0.321031000,0.284213000,0.036818000
1,0,0,1,600.2922260,70.46204100,-35.53223700,-0.317722000,0.275773000,0.041950000
1,0,0,1,610.2507640,70.55510800,-34.97219800,-0.314332000,0.267264000,0.047068000
1,0,0,1,620.0648670,70.63359900,-34.40069700,-0.310865000,0.258690000,0.05217500
1,0,0,1,629.7266880,70.69556000,-33.81981000,-0.307324000,0.25005200,0.057272000
1,0,0,1,639.2304900,70.73784400,-33.23281400,-0.303711000,0.241352000,0.06235900
1,0,0,1,648.5720160,70.75807300,-32.64221800,-0.300025000,0.232592000,0.067433000
1,0,0,1,657.750509,70.75723200,-32.04718100,-0.296268000,0.223775000,0.072492000
1,0,0,1,666.7664160,70.73803500,-31.44513400,-0.29243900,0.214903000,0.077536000
1,0,0,1,675.6217220,70.70313600,-30.83357600,-0.288539000,0.205978000,0.082561000
1,0,0,1,684.3171010,70.6528160,-30.21238800,-0.284566000,0.197002000,0.087564000
1,0,0,1,692.852555,70.58624300,-29.58256500,-0.280519000,0.18797800,0.092541000
1,0,0,1,701.2256740,70.50252300,-28.94517400,-0.27639900,0.178907000,0.097492000
1,0,0,1,709.4332280,70.40214500,-28.29990500,-0.272208000,0.16979200,0.102416000
1,0,0,1,717.4703090,70.28555600,-27.64649200,-0.267949000,0.160635000,0.107315000
1,0,0,1,725.332374,70.1524970,-26.98538600,-0.26362600,0.151438000,0.112188000
1,0,0,1,733.0147910,70.00128500,-26.31846700,-0.259240000,0.142204000,0.117036000
1,0,0,1,740.5147730,69.83060000,-25.64725400,-0.254792000,0.132935000,0.121857000
1,0,0,1,747.8304910,69.64026800,-24.97213200,-0.25028200,0.123633000,0.126649000
1,0,0,1,754.9620010,69.43183600,-24.29176500,-0.245711000,0.114301000,0.131410000
1,0,0,1,761.9094640,69.20687400,-23.60480200,-0.241080000,0.104940000,0.136140000
1,0,0,1,768.6734520,68.96624500,-22.91060800,-0.236390000,0.095554000,0.140836000
1,0,0,1,775.253284,68.70949400,-22.20986600,-0.231639000,0.086144000,0.145495000
1,0,0,1,781.6477910,68.43614800,-21.50328600,-0.226828000,0.07671300,0.150115000
1,0,0,1,787.8543880,68.14603500,-20.79128200,-0.221959000,0.067262000,0.154697000
1,0,0,1,793.8703210,67.83961900,-20.0736370,-0.217036000,0.057796000,0.159240000
1,0,0,1,799.6921720,67.51689700,-19.35060600,-0.212059000,0.048314000,0.163744000
1,0,0,1,805.3172360,67.17741600,-18.62290200,-0.207031000,0.038822000,0.168209000
1,0,0,1,810.7430740,66.82028400,-17.89167800,-0.20195300,0.029319000,0.172634000
1,0,0,1,815.9685730,66.44533700,-17.15736800,-0.196827000,0.019809000,0.177017000
1,0,0,1,820.9930640,66.05310400,-16.41971600,-0.191652000,0.010294000,0.181357000
1,0,0,1,825.816757,65.64472300,-15.67786400,-0.186430000,0.000777000,0.185653000
1,0,0,1,830.4395100,65.22084500,-14.9314440,-0.181162000,-0.008740000,0.189902000
1,0,0,1,834.8611670,64.78162300,-14.18059000,-0.175848000,-0.018255000,0.194103000
1,0,0,1,839.080654,64.32669800,-13.4259580,-0.17048900,-0.027766000,0.198256000
1,0,0,1,843.0966880,63.85601900,-12.66789500,-0.165088000,-0.037270000,0.202358000
1,0,0,1,846.907292,63.3697000,-11.90659100,-0.159644000,-0.046765000,0.206409000
1,0,0,1,850.5106910,62.8680200,-11.14207500,-0.154162000,-0.056248000,0.210410000
1,0,0,1,853.9049550,62.35082000,-10.37481800,-0.148643000,-0.06571700,0.214360000
1,0,0,1,857.088846,61.81782300,-9.605413000,-0.143087000,-0.075170000,0.218257000
1,0,0,1,860.0613640,61.26877600,-8.834437000,-0.137497000,-0.084605000,0.222102000
1,0,0,1,862.8223040,60.70401600,-8.061877000,-0.131873000,-0.094018000,0.225891000
1,0,0,1,865.3715360,60.1241300,-7.287475000,-0.126216000,-0.103409000,0.229625000
1,0,0,1,867.7092740,59.52979700,-6.510887000,-0.120529000,-0.112774000,0.233303000
1,0,0,1,869.835318,58.92123400,-5.732236000,-0.114811000,-0.122111000,0.236922000
1,0,0,1,871.7494270,58.29846200,-4.951841000,-0.109064000,-0.131418000,0.240482000
1,0,0,1,873.4508220,57.66136700,-4.170163000,-0.103289000,-0.140693000,0.24398200
1,0,0,1,874.9387540,57.01010800,-3.387393000,-0.097489000,-0.149932000,0.247421000
1,0,0,1,876.2121820,56.34484100,-2.603729000,-0.091664000,-0.159135000,0.250799000
1,0,0,1,877.2703640,55.66572300,-1.81937100,-0.085817000,-0.168299000,0.254116000
1,0,0,1,878.1125700,54.97266400,-1.034771000,-0.079950000,-0.177421000,0.257371000
1,0,0,1,878.7385810,54.26566500,-0.250291000,-0.07406300,-0.186499000,0.260562000
1,0,0,1,879.148308,53.54485600,0.533829000,-0.068158000,-0.195531000,0.263689000
1,0,0,1,879.3420970,52.81069600,1.317679000,-0.062236000,-0.204515000,0.266751000
1,0,0,1,879.3202240,52.06363200,2.101328000,-0.05629900,-0.213449000,0.269748000
1,0,0,1,879.0831050,51.3040360,2.884774000,-0.050347000,-0.222330000,0.272677000
1,0,0,1,878.630855,50.53199600,3.66772200,-0.044383000,-0.231156000,0.275539000
1,0,0,1,877.9635950,49.74759300,4.449870000,-0.038407000,-0.239925000,0.278332000
1,0,0,1,877.0811680,48.95090200,5.230906000,-0.032422000,-0.248635000,0.281057000
1,0,0,1,875.9835380,48.14215900,6.010679000,-0.026429000,-0.257283000,0.283712000
1,0,0,1,874.6705690,47.32153300,6.788963000,-0.020429000,-0.265868000,0.286297000
1,0,0,1,873.1424100,46.48918000,7.565521000,-0.014424000,-0.274388000,0.288812000
1,0,0,1,871.3992640,45.64515600,8.340011000,-0.00841600,-0.282839000,0.291255000
1,0,0,1,869.4416880,44.789653,9.112228000,-0.002406000,-0.291221000,0.293627000
1,0,0,1,867.2702880,43.92294700,9.882044000,0.003604000,-0.299531000,0.29592700
1,0,0,1,864.8859030,43.04544800,10.64946700,0.009614000,-0.307767000,0.298153000
1,0,0,1,862.2892650,42.15746900,11.41440100,0.015622000,-0.31592800,0.300306000
1,0,0,1,859.4811760,41.2592570,12.1766890,0.021625000,-0.324010000,0.302384000
1,0,0,1,856.4622440,40.35093000,12.93603800,0.027624000,-0.332012000,0.304388000
1,0,0,1,853.2331320,39.43266700,13.69221500,0.033616000,-0.339932000,0.306316000
1,0,0,1,849.7943830,38.504656,14.44499400,0.039600000,-0.347769000,0.308169000
1,0,0,1,846.1466970,37.56715600,15.194221,0.045574000,-0.355520000,0.309945000
1,0,0,1,842.2907660,36.62035300,15.9396650,0.051537000,-0.363183000,0.311646000
1,0,0,1,838.2275130,35.66444200,16.68110400,0.057487000,-0.37075600,0.313269000
1,0,0,1,833.9579120,34.69959400,17.41828900,0.063423000,-0.378238000,0.314815000
1,0,0,1,829.4831560,33.72609100,18.15108400,0.069343000,-0.385627000,0.31628400
1,0,0,1,824.8044380,32.74424300,18.87937600,0.075245000,-0.392920000,0.317675000
1,0,0,1,819.9230740,31.75439500,19.6030890,0.081130000,-0.40011600,0.318987000
1,0,0,1,814.8402910,30.75680100,20.32205500,0.08699400,-0.40721400,0.3202200
1,0,0,1,809.5573740,29.75169300,21.03608000,0.092838000,-0.414211000,0.321374000
1,0,0,1,804.0755130,28.73925200,21.74492400,0.098658000,-0.421107000,0.322449000
1,0,0,1,798.3959850,27.7197210,22.44840300,0.104454000,-0.427898000,0.323443000
1,0,0,1,792.5200370,26.69333400,23.14632700,0.110225000,-0.434583000,0.324359000
1,0,0,1,786.4490540,25.66035600,23.83853400,0.115968000,-0.441162000,0.325194000
1,0,0,1,780.1844470,24.62100000,24.52481400,0.121682000,-0.44763100,0.325949000
1,0,0,1,773.7277900,23.57551100,25.20498300,0.127367000,-0.453990000,0.326624000
1,0,0,1,767.0806850,22.52413300,25.87886200,0.133020000,-0.460237000,0.327218000
1,0,0,1,760.2448720,21.46718000,26.54633800,0.138640000,-0.466371000,0.32773100
1,0,0,1,753.2220750,20.40495400,27.20728800,0.144226000,-0.472389000,0.328164000
1,0,0,1,746.0140960,19.33775700,27.86158800,0.149776000,-0.478291000,0.328515000
1,0,0,1,738.6226870,18.26583000,28.50905600,0.155290000,-0.484075000,0.328785000
1,0,0,1,731.0496610,17.1894210,29.14951400,0.160765000,-0.489740000,0.328974000
1,0,0,1,723.2967980,16.10875800,29.78276700,0.166201000,-0.495283000,0.329082000
1,0,0,1,715.3659620,15.02411600,30.40866700,0.171596000,-0.500705000,0.329109000
1,0,0,1,707.2590230,13.93575100,31.02704800,0.176948000,-0.506002000,0.329054000
1,0,0,1,698.9779630,12.84393500,31.6377610,0.182257000,-0.51117500,0.328918000
1,0,0,1,690.524791,11.7489130,32.24063100,0.187521000,-0.51622200,0.328702000
1,0,0,1,681.9016310,10.65096200,32.835516,0.192738000,-0.521142000,0.328404000
1,0,0,1,673.1106250,9.550359000,33.42227500,0.197908000,-0.525933000,0.328025000
1,0,0,1,664.1540010,8.447412000,34.00080000,0.203029000,-0.530594000,0.327565000
1,0,0,1,655.0339750,7.342407000,34.57096300,0.208100000,-0.535124000,0.327024000
1,0,0,1,645.7528220,6.23562600,35.13263000,0.213120000,-0.539522000,0.326402000
1,0,0,1,636.3127910,5.127317000,35.68564000,0.218087000,-0.543787000,0.325700000
1,0,0,1,626.7161930,4.017745000,36.22984700,0.223001000,-0.54791800,0.324917000
1,0,0,1,616.9653300,2.907170000,36.76510300,0.227859000,-0.551914000,0.324055000
1,0,0,1,607.0625860,1.795874000,37.29128400,0.23266200,-0.555774000,0.323112000
1,0,0,1,597.0103580,0.684123000,37.80825200,0.237406000,-0.55949600,0.322090000
1,0,0,1,586.8111300,-0.427808000,38.3158810,0.242093000,-0.563080000,0.320988000
1,0,0,1,576.4674120,-1.539656000,38.81403400,0.246719000,-0.566526000,0.319807000
1,0,0,1,565.9817860,-2.651134000,39.30259800,0.251285000,-0.569831000,0.318547000
1,0,0,1,555.3568470,-3.761962000,39.78146300,0.255788000,-0.572997000,0.317208000
1,0,0,1,544.5952450,-4.871844000,40.25052800,0.260229000,-0.576020000,0.315791000
1,0,0,1,533.6996250,-5.980508000,40.70967900,0.264606000,-0.578902000,0.314296000
